,to1820,to1840,to1860,to1880,to1900,to1920,to1940,to1960,to1980,to2000,to2016,after2016,
Baptisia tinctoria,0,1,2,0,0,2,1,0,4,1,0,0,5
Clethra alnifolia,0,0,1,0,1,2,3,0,3,2,0,0,5
Cuscuta gronovii,0,0,0,0,0,1,1,1,3,1,0,0,4
Epigaea repens,0,0,0,0,0,2,0,1,0,1,0,0,1
Galium triflorum,0,0,0,0,0,2,1,0,1,1,0,0,2
Gaylussacia baccata,0,0,0,0,1,1,1,0,5,1,0,0,6
Kalmia angustifolia,0,0,0,0,0,0,1,1,7,1,0,0,8
Lechea intermedia,0,0,0,1,0,0,3,7,0,1,0,0,1
Lespedeza capitata,0,0,0,0,0,2,0,0,4,1,0,0,5
Lespedeza hirta,0,0,0,0,1,1,0,0,1,2,0,0,3
Ludwigia palustris,0,0,0,0,0,0,0,0,2,5,0,0,7
Lycopus americanus,0,0,0,0,0,2,0,0,6,4,0,0,10
Lysimachia terrestris,0,0,0,0,0,2,1,0,4,3,0,0,7
Mentha arvensis,0,0,0,0,0,1,0,0,2,4,0,0,6
Polygala sanguinea,0,0,0,0,1,1,0,0,1,1,0,0,2
Triadenum virginicum,0,0,0,0,1,1,1,0,5,1,0,0,6
Vaccinium corymbosum,0,0,1,0,0,1,2,2,4,2,0,0,6
Vaccinium macrocarpon,0,0,0,0,0,2,0,1,1,2,0,0,3
Viola blanda,0,0,0,0,0,2,0,0,0,1,0,0,1
Viola cucullata,0,0,0,0,0,5,0,1,0,1,0,0,1
Vitis labrusca,0,0,1,0,0,2,0,0,1,1,0,0,2